Dia,Atividade
09/Fev,Apresentação do curso
13/Fev,Nivelamento
20/Fev,Nivelamento
23/Fev,Escopo de Medição
27/Fev,Escopo de Medição
02/Mar,Conceitos Básicos de Medição
06/Mar,Conceitos Básicos de Experimentação
09/Mar,Etapas de Experimentação e Relatórios
13/Mar,"Entidades, Atributos e Objetivos de Medição"
16/Mar,Métricas de Produto
20/Mar,Métricas de Processo
23/Mar,Métricas de Projeto
27/Mar,"Modelos: Custo & Esforço, Produtividade Data Collection"
06/Abr,"Modelos: confiabilidade, qualidade"
10/Abr,Pontos de Função
13/Abr,Revisão de Estatística
17/Abr,Estatística para Experimentos
20/Abr,Avaliação 1
24/Abr,Revisão de Prova
27/Abr,Intrd. à Experimentação
04/Mai,Métodos e Estratégias Empíricas
08/Mai,Variáveis em Experimentos
11/Mai,Revisão Sistemática da Literatura
15/Mai,Etapas: Escopo e Planejamento
18/Mai,Etapas: Operação
22/Mai,Etapas: Análise e Interpretação
25/Mai,Enunciado do Trabalho Final
29/Mai,Data Analysis - Data collection and Data Validation
01/Jun,Tomada de Decisão em Experimentos
05/Jun,Relatórios e Documentação Técnica
08/Jun,Métricas modernas
12/Jun,Apresentação do Trabalho Final
15/Jun,Apresentação do Trabalho Final
19/Jun,Avaliação 2
22/Jun,Revisão de Prova
26/Jun,Revisão de Matéria
29/Jun,Reavaliação
03/Jul,Revisão de Prova
06/Jul,
