"id","modulo","topico","descricao","data","aula_relacionada"
"1","0. Nivelamento e Apresentação da Disciplina","Nivelamento e Apresentação da Disciplina","02 h/a","",""
"2","1. Medição em Engenharia de Software","Nivelamento e revisão de fundamentos de engenharia de software","","",""
"3","1. Medição em Engenharia de Software","Métricas de produto","","",""
"4","1. Medição em Engenharia de Software","Métricas de processo","","",""
"5","1. Medição em Engenharia de Software","Métricas de projeto","","",""
"6","1. Medição em Engenharia de Software","Processos e técnicas de medição","","",""
"7","1. Medição em Engenharia de Software","Identificação, organização e validação de métricas de software","","",""
"8","1. Medição em Engenharia de Software","Prova e atividades avaliativas","","",""
"9","2. Análise de medições de software","Distribuições de probabilidade","","",""
"10","2. Análise de medições de software","Testes de hipótese","","",""
"11","2. Análise de medições de software","Análise multivariada","","",""
"12","2. Análise de medições de software","Atividades avaliativas","","",""
"13","3. Experimentação em Engenharia de Software","Estratégias de experimentação","","",""
"14","3. Experimentação em Engenharia de Software","Processo de experimentação","","",""
"15","3. Experimentação em Engenharia de Software","Planejamento de experimento","","",""
"16","3. Experimentação em Engenharia de Software","Execução de experimento","","",""
"17","3. Experimentação em Engenharia de Software","Análise de resultados de experimentos","","",""
"18","3. Experimentação em Engenharia de Software","Apresentação de resultados experimentais","","",""
"19","3. Experimentação em Engenharia de Software","Provas e atividades avaliativas","","",""
