"artigo_id","artigo_titulo","artigo_arquivo","aula_arquivo","score_relevancia","total_temas_aula","percentual_match"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","9","12","75.0"
"37","Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.","Medição e Análise no CMMI com Metodologia Seis Sigma eISOIECIEEE1593.pdf","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","8","11","72.7"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","6","11","54.5"
"37","Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.","Medição e Análise no CMMI com Metodologia Seis Sigma eISOIECIEEE1593.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","6","12","50.0"
"16","Microsoft Word - FinalPrint07.doc","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","5","12","41.7"
"16","Microsoft Word - FinalPrint07.doc","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","5","11","45.5"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","5","12","41.7"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 3 - Introdução à Experimentação.pdf","5","7","71.4"
"37","Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.","Medição e Análise no CMMI com Metodologia Seis Sigma eISOIECIEEE1593.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","5","16","31.2"
"8","arXiv:1801.06475v1  [cs.SE]  19 Jan 2018","A Systematic Review of Productivity Factors in Software Development.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","4","16","25.0"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","4","16","25.0"
"24","Application of Statistical Methods in Software Engineering: Theory and Practice","Application of Statistical Methods in Software Engineering Theory and Practice.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","4","12","33.3"
"27","Evaluation of Software Product Quality Metrics","Evaluation of Software Product Quality Metrics.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","4","16","25.0"
"28","Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?","Evidence_is_All_We_Need_Do_Self-Admitted_Technical_Debts_Impact_Method-Level_Maintenance.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","4","16","25.0"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","4","16","25.0"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 8 - Processo de Experimentos.pdf","4","12","33.3"
