"id","arquivo","titulo","autores","ano","abstract","keywords","doi","num_paginas","caminho_pdf"
"1","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","","2023","Throughout controlled experimentation, it is possible to provide evidence of the software being developed. In the academic envi- ronment, Experimentation in Software Engineering (ESE) is essen- tial to understanding cause-effect relations, enabling a vision of the development process, and taking action on actual events in the software industry. As much as the experimentation processes have been used in industry and academia, there is a lack of for- malization of the principles of ESE teaching and artifacts that can be useful to support it in higher education. One of the means to contribute to ","Teaching of Controlled Experimentation, Controlled Experimenta- tion, TAM Model, Conceptual Modeling, Concepts ACM Reference Format: Carlos D. Luz, Edson OliveiraJr, and Igor Steinmacher.","10.1145/3613372.3614202","10","Artigos/A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf"
"2","A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf","Technical Report, Simula Research Laboratory, number 2011-13","","2011","Randomized algorithms have been used to successfully address many different types of software engi- neering problems. This type of algorithms entail a signiﬁcant degree of randomness as part of their logic. Randomized algorithms are useful to address difﬁcult problems where a precise solution cannot be derived in a deterministic way within reasonable time. However, randomized algorithms can produce different results on every run when applied to the same problem instance. It is hence important to assess the effectiveness of randomized algorithms by collecting data from a large enough number of ","","","29","Artigos/A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf"
"3","A Large-Scale Empirical Study of AI-Generated Code in.pdf","A Large-Scale Empirical Study of AI-Generated Code in Real-World Repositories","Tianhao Mao; Dongfang Zhao; Haixu Tang; Xiaofeng Wang; Hang Zhang","2026","Large language models (LLMs) are increasingly used in software development, generating code that ranges from short snippets to substantial project components. As AI-generated code becomes more common in real-world repositories, it is important to under- stand how it differs from human-written code and how AI assistance may influence development practices. However, existing studies have largely relied on small-scale or controlled settings, leaving a limited understanding of AI-generated code in the wild. In this work, we present a large-scale empirical study of AI- generated code collected from","","10.1145/nnnnnnn.nnnnnnn","12","Artigos/A Large-Scale Empirical Study of AI-Generated Code in.pdf"
"4","A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf","A Quality Model-based Approach for Measuring User Interface Aesthetics with Grace","Mathieu Zen","2023","","and Phrases: Aesthetics, Graphical User Interfaces, Software measurement, User interface evaluation, Usability engineering, Visual measures, Visual techniques.","10.1145/3593224","47","Artigos/A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf"
"5","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","A Review and Analysis of Software Complexity Metrics in Structural Testing","","","Software metrics is developed and used by the various software organizations for evaluating and assuring software code quality, operation, and maintenance. Software metrics measure various types of software complexity like size metrics, control flow metrics and data flow metrics. These software complexities must be continuously calculated, followed, and controlled. One of the main objectives of software metrics is that applies to a process and product metrics. It is always considered that high degree of complexity in a module is bad in comparison to a low degree of complexity in a module. Soft","","","5","Artigos/A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf"
"6","A Study on Software Metrics and its Impact on Software Quality.pdf","2-815-A Study on Software Metrics and its Impact on Software Quality.cdr","khalil","","Software metrics offer a quantitative basis for predicting the software development process. In this way, software quality can be improved very easily. Software quality should be achieved to satisfy the customer with decreasing the software cost and improve there liability of the software product. In this research, we have discussed how the software metrics affect the quality of the software and which stages of its development software metrics have applied. We discussed the different software metrics and how these metrics have an impact on software quality and reliability. These techniques hav","Data stream mining, In-process metrics, defect severity, Test coverage, McCabe, STREW-H, Software Quality, In-process Measurements, Testing Metrics, software complexity. I. INTRODUCTION","","14","Artigos/A Study on Software Metrics and its Impact on Software Quality.pdf"
"7","A Survey of Controlled Experiments in Software Engineering..pdf","A Survey of Controlled Experiments","","2002","The classical method for identifying cause-effect relationships is to conduct controlled experiments. This paper reports upon the present state of how controlled experiments in software engineering are conducted and the extent to which relevant information is reported. Among the 5,453 scientific articles published in 12 leading software engineering journals and conferences in the decade from 1993 to 2002, 103 articles (1.9 percent) reported controlled experiments in which individuals or teams performed one or more software engineering tasks. This survey quantitatively characterizes the topics ","","","21","Artigos/A Survey of Controlled Experiments in Software Engineering..pdf"
"8","A Systematic Review of Productivity Factors in Software Development.pdf","arXiv:1801.06475v1  [cs.SE]  19 Jan 2018","","2018","Analysing and improving productivity has been one of the main goals of software engineering research since its beginnings. A plethora of studies has been conducted on various factors that resulted in several models for analysis and prediction of productivity. However, productivity is still an issue in current software development and not all factors and their relationships are known. This paper reviews the large body of available literature in order to distill a list of the main factors inﬂuencing productivity investigated so far. The measure for importance here is the number of articles a fac","","","6","Artigos/A Systematic Review of Productivity Factors in Software Development.pdf"
"9","A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf","A Tale of Two Cities: Software Developers Working from","","2021","","and Phrases: COVID-19, work from home","10.1145/3487567","37","Artigos/A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf"
"10","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","ae","2013","Reliable empirical models such as those used in software effort estimation or defect prediction are inherently dependent on the data from which they are built. As demands for process and product improvement continue to grow, the quality of the data used in measurement and prediction systems warrants increasingly close scrutiny. In this paper we propose a taxonomy of data quality challenges in empirical software engineering, based on an extensive review of prior research. We consider current assessment techniques for each quality issue and proposed mechanisms to address these issues, where avai","data quality; provenance; commercial sensitivity; accessibility; trustworthiness; empirical software engineering","10.1109/ASWEC.2013.21","12","Artigos/A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf"
