"id","data","atividade","tipo_atividade","modulo_tematico","aula_pdf","caminho_pdf_aula"
"1","09/Fev","Apresentação do curso","Apresentação do Curso","Módulo 0 - Introdução","Aula 1.pdf","aulas/Aula 1.pdf"
"2","13/Fev","Nivelamento","Nivelamento","Módulo 0 - Introdução","Aula 1.pdf","aulas/Aula 1.pdf"
"3","20/Fev","Nivelamento","Nivelamento","Módulo 0 - Introdução","Aula 1.pdf","aulas/Aula 1.pdf"
"4","23/Fev","Escopo de Medição","Aula Expositiva","Módulo 1 - Fundamentos de Medição","Aula 2 - Escopo e Normas de Medição de Software.pdf","aulas/Aula 2 - Escopo e Normas de Medição de Software.pdf"
"5","27/Fev","Escopo de Medição","Aula Expositiva","Módulo 1 - Fundamentos de Medição","Aula 2 - Escopo e Normas de Medição de Software.pdf","aulas/Aula 2 - Escopo e Normas de Medição de Software.pdf"
"6","02/Mar","Conceitos Básicos de Medição","Aula Expositiva","Módulo 1 - Fundamentos de Medição","Aula 2 - Escopo e Normas de Medição de Software.pdf","aulas/Aula 2 - Escopo e Normas de Medição de Software.pdf"
"7","06/Mar","Conceitos Básicos de Experimentação","Aula Expositiva","Módulo 3 - Experimentação","Aula 3 - Introdução à Experimentação.pdf","aulas/Aula 3 - Introdução à Experimentação.pdf"
"8","09/Mar","Etapas de Experimentação e Relatórios","Aula Expositiva","Módulo 3 - Experimentação","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"9","13/Mar","Entidades, Atributos e Objetivos de Medição","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf","aulas/Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf"
"10","16/Mar","Métricas de Produto","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"11","20/Mar","Métricas de Processo","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"12","23/Mar","Métricas de Projeto","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"13","27/Mar","Modelos: Custo & Esforço, Produtividade Data Collection","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"14","06/Abr","Modelos: confiabilidade, qualidade","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"15","10/Abr","Pontos de Função","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"16","13/Abr","Revisão de Estatística","Aula Expositiva","Módulo 4 - Análise Estatística","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","aulas/Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"17","17/Abr","Estatística para Experimentos","Aula Expositiva","Módulo 4 - Análise Estatística","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","aulas/Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"18","20/Abr","Avaliação 1","Avaliação","Avaliações","",""
"19","24/Abr","Revisão de Prova","Revisão de Prova","Avaliações","",""
"20","27/Abr","Intrd. à Experimentação","Aula Expositiva","Módulo 3 - Experimentação","Aula 3 - Introdução à Experimentação.pdf","aulas/Aula 3 - Introdução à Experimentação.pdf"
"21","04/Mai","Métodos e Estratégias Empíricas","Aula Expositiva","Módulo 3 - Experimentação","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"22","08/Mai","Variáveis em Experimentos","Aula Expositiva","Módulo 3 - Experimentação","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","aulas/Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"23","11/Mai","Revisão Sistemática da Literatura","Aula Expositiva","Módulo 3 - Experimentação","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"24","15/Mai","Etapas: Escopo e Planejamento","Aula Expositiva","Módulo 1 - Fundamentos de Medição","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"25","18/Mai","Etapas: Operação","Aula Expositiva","Módulo 3 - Experimentação","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"26","22/Mai","Etapas: Análise e Interpretação","Aula Expositiva","Módulo 3 - Experimentação","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"27","25/Mai","Enunciado do Trabalho Final","Orientação de Trabalho","Módulo 5 - Prática e Encerramento","",""
"28","29/Mai","Data Analysis - Data collection and Data Validation","Aula Expositiva","Módulo 4 - Análise Estatística","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"29","01/Jun","Tomada de Decisão em Experimentos","Aula Expositiva","Módulo 4 - Análise Estatística","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"30","05/Jun","Relatórios e Documentação Técnica","Aula Expositiva","Módulo 5 - Prática e Encerramento","Aula 8 - Processo de Experimentos.pdf","aulas/Aula 8 - Processo de Experimentos.pdf"
"31","08/Jun","Métricas modernas","Aula Expositiva","Módulo 2 - Métricas e Modelos","Aula 5 - Medições de Produto, Processo e Recurso.pdf","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"32","12/Jun","Apresentação do Trabalho Final","Apresentação de Trabalho","Módulo 5 - Prática e Encerramento","",""
"33","15/Jun","Apresentação do Trabalho Final","Apresentação de Trabalho","Módulo 5 - Prática e Encerramento","",""
"34","19/Jun","Avaliação 2","Avaliação","Avaliações","",""
"35","22/Jun","Revisão de Prova","Revisão de Prova","Avaliações","",""
"36","26/Jun","Revisão de Matéria","Revisão de Matéria","Avaliações","",""
"37","29/Jun","Reavaliação","Reavaliação","Avaliações","",""
"38","03/Jul","Revisão de Prova","Revisão de Prova","Avaliações","",""
"39","06/Jul","","Aula Expositiva","Módulo 3 - Experimentação","",""
