"id","modulo","topico","descricao","data","aula_relacionada"
"1","Módulo 0 - Introdução","Apresentação do curso","","09/Fev","Aula 1.pdf"
"2","Módulo 0 - Introdução","Nivelamento","","13/Fev","Aula 1.pdf"
"3","Módulo 0 - Introdução","Nivelamento","","20/Fev","Aula 1.pdf"
"4","Módulo 1 - Fundamentos de Medição","Escopo de Medição","","23/Fev","Aula 2 - Escopo e Normas de Medição de Software.pdf"
"5","Módulo 1 - Fundamentos de Medição","Escopo de Medição","","27/Fev","Aula 2 - Escopo e Normas de Medição de Software.pdf"
"6","Módulo 1 - Fundamentos de Medição","Conceitos Básicos de Medição","","02/Mar","Aula 2 - Escopo e Normas de Medição de Software.pdf"
"7","Módulo 3 - Experimentação","Conceitos Básicos de Experimentação","","06/Mar","Aula 3 - Introdução à Experimentação.pdf"
"8","Módulo 3 - Experimentação","Etapas de Experimentação e Relatórios","","09/Mar","Aula 8 - Processo de Experimentos.pdf"
"9","Módulo 2 - Métricas e Modelos","Entidades, Atributos e Objetivos de Medição","","13/Mar","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf"
"10","Módulo 2 - Métricas e Modelos","Métricas de Produto","","16/Mar","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"11","Módulo 2 - Métricas e Modelos","Métricas de Processo","","20/Mar","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"12","Módulo 2 - Métricas e Modelos","Métricas de Projeto","","23/Mar","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"13","Módulo 2 - Métricas e Modelos","Modelos: Custo & Esforço, Produtividade Data Collection","","27/Mar","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"14","Módulo 2 - Métricas e Modelos","Modelos: confiabilidade, qualidade","","06/Abr","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"15","Módulo 2 - Métricas e Modelos","Pontos de Função","","10/Abr","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"16","Módulo 4 - Análise Estatística","Revisão de Estatística","","13/Abr","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"17","Módulo 4 - Análise Estatística","Estatística para Experimentos","","17/Abr","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"18","Avaliações","Avaliação 1","","20/Abr",""
"19","Avaliações","Revisão de Prova","","24/Abr",""
"20","Módulo 3 - Experimentação","Intrd. à Experimentação","","27/Abr","Aula 3 - Introdução à Experimentação.pdf"
"21","Módulo 3 - Experimentação","Métodos e Estratégias Empíricas","","04/Mai","Aula 8 - Processo de Experimentos.pdf"
"22","Módulo 3 - Experimentação","Variáveis em Experimentos","","08/Mai","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"23","Módulo 3 - Experimentação","Revisão Sistemática da Literatura","","11/Mai","Aula 8 - Processo de Experimentos.pdf"
"24","Módulo 1 - Fundamentos de Medição","Etapas: Escopo e Planejamento","","15/Mai","Aula 8 - Processo de Experimentos.pdf"
"25","Módulo 3 - Experimentação","Etapas: Operação","","18/Mai","Aula 8 - Processo de Experimentos.pdf"
"26","Módulo 3 - Experimentação","Etapas: Análise e Interpretação","","22/Mai","Aula 8 - Processo de Experimentos.pdf"
"27","Módulo 5 - Prática e Encerramento","Enunciado do Trabalho Final","","25/Mai",""
"28","Módulo 4 - Análise Estatística","Data Analysis - Data collection and Data Validation","","29/Mai","Aula 8 - Processo de Experimentos.pdf"
"29","Módulo 4 - Análise Estatística","Tomada de Decisão em Experimentos","","01/Jun","Aula 8 - Processo de Experimentos.pdf"
"30","Módulo 5 - Prática e Encerramento","Relatórios e Documentação Técnica","","05/Jun","Aula 8 - Processo de Experimentos.pdf"
"31","Módulo 2 - Métricas e Modelos","Métricas modernas","","08/Jun","Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"32","Módulo 5 - Prática e Encerramento","Apresentação do Trabalho Final","","12/Jun",""
"33","Módulo 5 - Prática e Encerramento","Apresentação do Trabalho Final","","15/Jun",""
"34","Avaliações","Avaliação 2","","19/Jun",""
"35","Avaliações","Revisão de Prova","","22/Jun",""
"36","Avaliações","Revisão de Matéria","","26/Jun",""
"37","Avaliações","Reavaliação","","29/Jun",""
"38","Avaliações","Revisão de Prova","","03/Jul",""
"39","Módulo 3 - Experimentação","","","06/Jul",""
